species_ID,Group,Order,Family,Genus,Species,subspecies,scientificName,variety,common_name,native_exotic,continent_of_origin,itis_tsn
2946,Amphibians-Salamanders,Caudata,Ambystomatidae,Ambystoma,gracile,,Ambystoma gracile,,Northwestern Salamander,Native,North America,173597
3230,Amphibians-Salamanders,Caudata,Plethodontidae,Desmognathus,monticola,,Desmognathus monticola,,Seal Salamander,Native,North America,173640
3143,Annelids-Hirundinea,,,Barbronia,weberi,,Barbronia weberi,,leech,Exotic,Asia,NULL
2244,Annelids-Oligochaetes,Haplotaxida,Naididae,Ripistes,parasita,NULL,Ripistes parasita,NULL,an oligochaete,Exotic,Eurasia,68964
273,Bryozoans,Plumatellida,Plumatellidae,Plumatella,repens,NULL,Plumatella repens,NULL,a bryozoan,Native,North America,156692
278,Bryozoans,Ctenostomata,Vesiculariidae,Lophopodella,carteri,NULL,Lophopodella carteri,NULL,freshwater bryozoan,Exotic,Asia,156716
2334,Bryozoans,Plumatellida,Stephanellidae,Stephanella,hina,NULL,Stephanella hina,NULL,bryozoan,Exotic,Asia,NULL
2335,Bryozoans,Plumatellida,Pectinatellidae,Pectinatella,magnifica,NULL,Pectinatella magnifica,NULL,magnificent bryozoan,Native,North America,156731
1050,Coelenterates-Hydrozoans,Leptothecatae,Blackfordiidae,Blackfordia,virginica,,Blackfordia virginica,,Black Sea jellyfish,Exotic,Europe,49780
1060,Coelenterates-Hydrozoans,Anthoathecatae,Oceanidae,Cordylophora,caspia,,Cordylophora caspia,,freshwater hydroid,Exotic,Eurasia,48893
1068,Coelenterates-Hydrozoans,Limnomedusae,Olindiidae,Craspedacusta,sowerbyi,,Craspedacusta sowerbyi,,freshwater jellyfish,Exotic,Asia,50776
23,Crustaceans-Amphipods,Amphipoda,Gammaridae,Echinogammarus,ischnus,NULL,Echinogammarus ischnus,NULL,scud,Exotic,Europe,656834
26,Crustaceans-Amphipods,Amphipoda,Gammaridae,Gammarus,fasciatus,NULL,Gammarus fasciatus,NULL,freshwater shrimp,Native,North America,93780
2315,Crustaceans-Amphipods,Amphipoda,Corophiidae,Apocorophium,lacustre,NULL,Apocorophium lacustre,NULL,a scud,Native,North America,656749
2387,Crustaceans-Amphipods,Amphipoda,Crangonyctidae,Crangonyx,pseudogracilis,NULL,Crangonyx pseudogracilis,NULL,northern river crangonyctid [English],Native,North America,95082
2650,Crustaceans-Amphipods,Amphipoda,Gammaridae,Gammarus,tigrinus,NULL,Gammarus tigrinus,NULL,amphipod,Native,North America,93781
